"","sigma2_ksi_true","sigma2_theta_true","covars","n_views","r","features_per_view","scenario_id","train_seed"
"1",0,0,FALSE,4,6,150,1,1
"2",0.75,0,FALSE,4,6,150,2,1
"3",1.5,0,FALSE,4,6,150,3,1
"4",0,0.75,FALSE,4,6,150,4,1
"5",0.75,0.75,FALSE,4,6,150,5,1
"6",1.5,0.75,FALSE,4,6,150,6,1
"7",0,1.5,FALSE,4,6,150,7,1
"8",0.75,1.5,FALSE,4,6,150,8,1
"9",1.5,1.5,FALSE,4,6,150,9,1
"10",0,0,FALSE,4,6,150,1,2
"11",0.75,0,FALSE,4,6,150,2,2
"12",1.5,0,FALSE,4,6,150,3,2
"13",0,0.75,FALSE,4,6,150,4,2
"14",0.75,0.75,FALSE,4,6,150,5,2
"15",1.5,0.75,FALSE,4,6,150,6,2
"16",0,1.5,FALSE,4,6,150,7,2
"17",0.75,1.5,FALSE,4,6,150,8,2
"18",1.5,1.5,FALSE,4,6,150,9,2
"19",0,0,FALSE,4,6,150,1,3
"20",0.75,0,FALSE,4,6,150,2,3
"21",1.5,0,FALSE,4,6,150,3,3
"22",0,0.75,FALSE,4,6,150,4,3
"23",0.75,0.75,FALSE,4,6,150,5,3
"24",1.5,0.75,FALSE,4,6,150,6,3
"25",0,1.5,FALSE,4,6,150,7,3
"26",0.75,1.5,FALSE,4,6,150,8,3
"27",1.5,1.5,FALSE,4,6,150,9,3
"28",0,0,FALSE,4,6,150,1,4
"29",0.75,0,FALSE,4,6,150,2,4
"30",1.5,0,FALSE,4,6,150,3,4
"31",0,0.75,FALSE,4,6,150,4,4
"32",0.75,0.75,FALSE,4,6,150,5,4
"33",1.5,0.75,FALSE,4,6,150,6,4
"34",0,1.5,FALSE,4,6,150,7,4
"35",0.75,1.5,FALSE,4,6,150,8,4
"36",1.5,1.5,FALSE,4,6,150,9,4
"37",0,0,FALSE,4,6,150,1,5
"38",0.75,0,FALSE,4,6,150,2,5
"39",1.5,0,FALSE,4,6,150,3,5
"40",0,0.75,FALSE,4,6,150,4,5
"41",0.75,0.75,FALSE,4,6,150,5,5
"42",1.5,0.75,FALSE,4,6,150,6,5
"43",0,1.5,FALSE,4,6,150,7,5
"44",0.75,1.5,FALSE,4,6,150,8,5
"45",1.5,1.5,FALSE,4,6,150,9,5
"46",0,0,FALSE,4,6,150,1,6
"47",0.75,0,FALSE,4,6,150,2,6
"48",1.5,0,FALSE,4,6,150,3,6
"49",0,0.75,FALSE,4,6,150,4,6
"50",0.75,0.75,FALSE,4,6,150,5,6
"51",1.5,0.75,FALSE,4,6,150,6,6
"52",0,1.5,FALSE,4,6,150,7,6
"53",0.75,1.5,FALSE,4,6,150,8,6
"54",1.5,1.5,FALSE,4,6,150,9,6
"55",0,0,FALSE,4,6,150,1,7
"56",0.75,0,FALSE,4,6,150,2,7
"57",1.5,0,FALSE,4,6,150,3,7
"58",0,0.75,FALSE,4,6,150,4,7
"59",0.75,0.75,FALSE,4,6,150,5,7
"60",1.5,0.75,FALSE,4,6,150,6,7
"61",0,1.5,FALSE,4,6,150,7,7
"62",0.75,1.5,FALSE,4,6,150,8,7
"63",1.5,1.5,FALSE,4,6,150,9,7
"64",0,0,FALSE,4,6,150,1,8
"65",0.75,0,FALSE,4,6,150,2,8
"66",1.5,0,FALSE,4,6,150,3,8
"67",0,0.75,FALSE,4,6,150,4,8
"68",0.75,0.75,FALSE,4,6,150,5,8
"69",1.5,0.75,FALSE,4,6,150,6,8
"70",0,1.5,FALSE,4,6,150,7,8
"71",0.75,1.5,FALSE,4,6,150,8,8
"72",1.5,1.5,FALSE,4,6,150,9,8
"73",0,0,FALSE,4,6,150,1,9
"74",0.75,0,FALSE,4,6,150,2,9
"75",1.5,0,FALSE,4,6,150,3,9
"76",0,0.75,FALSE,4,6,150,4,9
"77",0.75,0.75,FALSE,4,6,150,5,9
"78",1.5,0.75,FALSE,4,6,150,6,9
"79",0,1.5,FALSE,4,6,150,7,9
"80",0.75,1.5,FALSE,4,6,150,8,9
"81",1.5,1.5,FALSE,4,6,150,9,9
"82",0,0,FALSE,4,6,150,1,10
"83",0.75,0,FALSE,4,6,150,2,10
"84",1.5,0,FALSE,4,6,150,3,10
"85",0,0.75,FALSE,4,6,150,4,10
"86",0.75,0.75,FALSE,4,6,150,5,10
"87",1.5,0.75,FALSE,4,6,150,6,10
"88",0,1.5,FALSE,4,6,150,7,10
"89",0.75,1.5,FALSE,4,6,150,8,10
"90",1.5,1.5,FALSE,4,6,150,9,10
"91",0,0,FALSE,4,6,150,1,11
"92",0.75,0,FALSE,4,6,150,2,11
"93",1.5,0,FALSE,4,6,150,3,11
"94",0,0.75,FALSE,4,6,150,4,11
"95",0.75,0.75,FALSE,4,6,150,5,11
"96",1.5,0.75,FALSE,4,6,150,6,11
"97",0,1.5,FALSE,4,6,150,7,11
